x,y
5.347297889204263299e+01,5.588005054175055619e+01
6.744357166306448903e+01,7.019167300834293144e+01
8.141416443408634507e+01,8.450329547493531379e+01
9.538475720510820111e+01,9.881491794152769614e+01
1.093553499761300571e+02,1.131265404081200785e+02
1.233259427471519132e+02,1.274381628747124608e+02
1.372965355181737834e+02,1.417497853413048290e+02
1.512671282891956253e+02,1.560614078078972113e+02
1.652377210602174955e+02,1.703730302744895937e+02
1.792083138312393658e+02,1.846846527410819760e+02
1.931789066022612360e+02,1.989962752076743584e+02
2.071494993732831063e+02,2.133078976742667408e+02
2.211200921443049765e+02,2.276195201408591231e+02
2.350906849153268467e+02,2.419311426074515055e+02
2.490612776863487170e+02,2.562427650740438594e+02
2.630318704573705872e+02,2.705543875406362417e+02
2.770024632283924575e+02,2.848660100072286241e+02
2.909730559994143277e+02,2.991776324738210064e+02
3.049436487704361980e+02,3.134892549404133888e+02
3.189142415414580682e+02,3.278008774070057711e+02
3.328848343124799385e+02,3.421124998735981535e+02
3.468554270835018087e+02,3.564241223401905359e+02
3.608260198545236790e+02,3.707357448067829182e+02
3.747966126255455492e+02,3.850473672733753006e+02
3.887672053965674195e+02,3.993589897399676829e+02
4.027377981675892897e+02,4.136706122065600653e+02
4.167083909386111600e+02,4.279822346731524476e+02
4.306789837096330302e+02,4.422938571397448300e+02
4.446495764806549005e+02,4.566054796063372123e+02
4.586201692516767707e+02,4.709171020729295947e+02
4.725907620226986410e+02,4.852287245395219770e+02
4.865613547937205112e+02,4.995403470061143594e+02
5.005319475647423815e+02,5.138519694727067417e+02
5.145025403357642517e+02,5.281635919392990672e+02
5.284731331067861220e+02,5.424752144058915064e+02
5.424437258778079922e+02,5.567868368724839456e+02
5.564143186488298625e+02,5.710984593390763848e+02
5.703849114198517327e+02,5.854100818056687103e+02
5.843555041908736030e+02,5.997217042722611495e+02
5.983260969618954732e+02,6.140333267388535887e+02
6.122966897329173435e+02,6.283449492054459142e+02
6.262672825039392137e+02,6.426565716720383534e+02
6.402378752749610840e+02,6.569681941386306789e+02
6.542084680459829542e+02,6.712798166052230044e+02
6.681790608170048245e+02,6.855914390718153300e+02
6.821496535880266947e+02,6.999030615384077691e+02
6.961202463590485650e+02,7.142146840050002083e+02
7.100908391300704352e+02,7.285263064715926475e+02
7.240614319010923055e+02,7.428379289381850867e+02
7.380320246721141757e+02,7.571495514047775259e+02
7.520026174431360459e+02,7.714611738713699651e+02
7.659732102141579162e+02,7.857727963379622906e+02
7.799438029851797864e+02,8.000844188045547298e+02
7.939143957562016567e+02,8.143960412711471690e+02
8.078849885272235269e+02,8.287076637377394945e+02
8.218555812982453972e+02,8.430192862043318200e+02
8.358261740692672674e+02,8.573309086709242592e+02
8.497967668402891377e+02,8.716425311375166984e+02
8.637673596113110079e+02,8.859541536041090239e+02
8.777379523823328782e+02,9.002657760707014631e+02
8.917085451533547484e+02,9.145773985372939023e+02
9.056791379243766187e+02,9.288890210038862278e+02
9.196497306953984889e+02,9.432006434704786670e+02
9.336203234664203592e+02,9.575122659370711062e+02
9.475909162374422294e+02,9.718238884036635454e+02
9.615615090084640997e+02,9.861355108702558709e+02
9.755321017794859699e+02,1.000447133336848310e+03
9.895026945505078402e+02,1.014758755803440636e+03
1.003473287321529710e+03,1.029070378270032961e+03
1.017443880092551581e+03,1.043382000736625287e+03
1.031414472863573337e+03,1.057693623203217612e+03
1.045385065634595094e+03,1.072005245669809938e+03
1.059355658405616850e+03,1.086316868136402263e+03
1.073326251176638607e+03,1.100628490602994589e+03
1.087296843947660363e+03,1.114940113069586914e+03
1.101267436718682120e+03,1.129251735536179240e+03
1.115238029489703877e+03,1.143563358002771565e+03
1.129208622260725633e+03,1.157874980469363891e+03
1.143179215031747390e+03,1.172186602935956216e+03
1.157149807802769146e+03,1.186498225402548542e+03
1.171120400573790903e+03,1.200809847869140867e+03
1.185090993344812659e+03,1.215121470335733193e+03
1.199061586115834416e+03,1.229433092802325518e+03
1.213032178886856173e+03,1.243744715268917844e+03
1.227002771657877929e+03,1.258056337735510169e+03
1.240973364428899686e+03,1.272367960202102495e+03
1.254943957199921442e+03,1.286679582668694820e+03
1.268914549970943199e+03,1.300991205135287146e+03
1.282885142741964955e+03,1.315302827601879471e+03
1.296855735512986939e+03,1.329614450068471797e+03
1.310826328284008696e+03,1.343926072535064122e+03
1.324796921055030452e+03,1.358237695001656448e+03
1.338767513826052436e+03,1.372549317468248773e+03
1.352738106597074193e+03,1.386860939934841099e+03
1.366708699368095949e+03,1.401172562401433424e+03
1.380679292139117933e+03,1.415484184868025750e+03
1.394649884910139690e+03,1.429795807334618075e+03
1.408620477681161447e+03,1.444107429801210401e+03
1.422591070452183203e+03,1.458419052267802726e+03
1.436561663223205187e+03,1.472730674734395052e+03
1.450532255994226944e+03,1.487042297200987377e+03
1.464502848765248928e+03,1.501353919667579703e+03
1.478473441536270684e+03,1.515665542134172028e+03
1.492444034307292441e+03,1.529977164600764354e+03
1.506414627078314425e+03,1.544288787067356679e+03
1.520385219849336181e+03,1.558600409533949005e+03
1.534355812620357938e+03,1.572912032000541330e+03
1.548326405391379694e+03,1.587223654467133656e+03
1.562296998162401678e+03,1.601535276933725982e+03
1.548343313556838439e+03,1.587207168687049943e+03
1.534389628951275199e+03,1.572879060440373905e+03
1.520435944345711960e+03,1.558550952193697867e+03
1.506482259740148720e+03,1.544222843947021829e+03
1.492528575134585481e+03,1.529894735700345791e+03
1.478574890529022241e+03,1.515566627453669753e+03
1.464621205923459001e+03,1.501238519206993715e+03
1.450667521317895762e+03,1.486910410960317677e+03
1.436713836712332522e+03,1.472582302713641639e+03
1.422760152106769283e+03,1.458254194466965600e+03
1.408806467501206043e+03,1.443926086220289562e+03
1.394852782895642804e+03,1.429597977973613524e+03
1.380899098290079564e+03,1.415269869726937486e+03
1.366945413684516325e+03,1.400941761480261448e+03
1.352991729078953085e+03,1.386613653233585410e+03
1.339038044473389846e+03,1.372285544986909372e+03
1.325084359867826606e+03,1.357957436740233334e+03
1.311130675262263367e+03,1.343629328493557296e+03
1.297176990656700127e+03,1.329301220246881257e+03
1.283223306051136888e+03,1.314973112000205219e+03
1.269269621445573648e+03,1.300645003753529181e+03
1.255315936840010409e+03,1.286316895506853143e+03
1.241362252234447169e+03,1.271988787260177105e+03
1.227408567628883930e+03,1.257660679013501067e+03
1.213454883023320690e+03,1.243332570766825029e+03
1.199501198417757450e+03,1.229004462520148991e+03
1.185547513812194211e+03,1.214676354273472953e+03
1.171593829206630971e+03,1.200348246026796915e+03
1.157640144601067732e+03,1.186020137780120876e+03
1.143686459995504492e+03,1.171692029533444838e+03
1.129732775389941253e+03,1.157363921286768800e+03
1.115779090784378013e+03,1.143035813040092762e+03
1.101825406178814774e+03,1.128707704793416724e+03
1.087871721573251534e+03,1.114379596546740686e+03
1.073918036967688295e+03,1.100051488300064648e+03
1.059964352362125055e+03,1.085723380053388610e+03
1.046010667756561816e+03,1.071395271806712572e+03
